sender,receiver,count
62,36,1
62,60,1
62,72,1
62,191,1
36,2,1
36,5,1
36,103,1
36,157,1
36,190,1
36,191,1
84,81,1
84,191,1
157,5,1
157,36,1
157,190,1
157,191,1
103,182,1
103,185,1
103,190,1
103,191,1
5,190,1
5,2,1
22,191,1
22,2,1
31,190,1
31,191,1
31,180,1
31,95,1
31,182,1
31,108,1
31,103,1
31,93,1
31,5,1
31,66,1
31,62,1
31,36,1
31,8,1
31,2,1
